Christchurch is Creative,Christchurch is Exciting,Christchurch is Revived,Christchurch is Energised,"Features that contribute the most to making christchurch a disticnt, unique and accessible city","Features that contribute the most to making Central Christchurch a disticnt, unique and accessible city",Reasons why you enjoy living in your neighbourhood,How much do you agree that the central city is somewhere that you and members of your community feel that you belong? (Comments)
,,,,,,,
Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,"none is horrendous as it is, take out the debris of that cathedral please ",ridiculous to have to drive 30 km per hour in a city centre that has nothing and still has deebri there,,
Agree,Agree,Strongly Disagree,Agree,,,,
Agree,Agree,Agree,Neither agree nor disagree,,,,
,,,,,,,
,,,,,,,
,,,,,,,
Neither agree nor disagree,Neither agree nor disagree,Agree,Neither agree nor disagree,,,,
,,,,,,,
Disagree,Neither agree nor disagree,Strongly Disagree,Disagree,,,,
Agree,Neither agree nor disagree,Disagree,Disagree,,,close to family,
,,,,,,Close to family,
Neither agree nor disagree,Disagree,Disagree,Disagree,,,,
Agree,Disagree,Disagree,Agree,,,,
Neither agree nor disagree,Agree,Agree,Agree,,,,
Agree,Strongly Agree,Agree,Agree,,,,
Neither agree nor disagree,Disagree,Disagree,Disagree,,,,I don't go to th city.. I don't feel like there is a city in here that we can go for a cruise with friends and family ðŸ˜•
Agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,,,,
Agree,Agree,Disagree,Disagree,,,,
,,,,,,,
Agree,Disagree,Disagree,Strongly Disagree,,,,
,,,,,,,
Strongly Agree,Agree,Agree,Agree,,,,
Agree,Agree,Agree,Agree,,,,
Strongly Agree,Neither agree nor disagree,Agree,Agree,,,,
Strongly Agree,Strongly Agree,Agree,Agree,Since the earthquakes have not really come back to town to enjoy the opportunities available ,,We live in realively isolated rural community ,Just use the central city to shop and have not come back to using the other opportunities since the earthquakes 
,,,,,,,
Strongly Agree,Agree,Neither agree nor disagree,Agree,,,,
Strongly Agree,Strongly Agree,Neither agree nor disagree,Agree,,,,
Agree,Agree,,Disagree,,,,
Agree,Agree,Neither agree nor disagree,Agree,,,,
Neither agree nor disagree,Strongly Agree,Agree,Strongly Agree,,,,
Agree,Neither agree nor disagree,Agree,Strongly Agree,,,,
Strongly Agree,,Disagree,Agree,,,Nice and flat,
Disagree,Agree,Disagree,Disagree,,,,
Strongly Agree,Disagree,Agree,Strongly Agree,,,,
Strongly Agree,Strongly Agree,Disagree,Strongly Agree,,,,
,,,,,,,
Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,,,,
Disagree,Strongly Disagree,Strongly Disagree,Disagree,,The Library and the Town Hall,,
Strongly Agree,Agree,Strongly Disagree,Agree,,,,
Neither agree nor disagree,Disagree,Disagree,Disagree,,,,
Neither agree nor disagree,Disagree,Neither agree nor disagree,Neither agree nor disagree,,,,
Agree,Neither agree nor disagree,Disagree,Disagree,,,,
Agree,Neither agree nor disagree,Neither agree nor disagree,Disagree,,,,
,,,,,,,
,,,,,,,Recently moved and still settling in
Strongly Agree,Strongly Agree,Neither agree nor disagree,Agree,,,,
Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,,,,
Agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,,,,
Agree,Agree,Neither agree nor disagree,Agree,,,,
Agree,Neither agree nor disagree,Agree,Disagree,,,,
Agree,Strongly Agree,Agree,Strongly Agree,,,,
Agree,Neither agree nor disagree,Disagree,Neither agree nor disagree,,,Student flat,
Strongly Agree,Disagree,Strongly Disagree,Agree,,,,
Agree,Neither agree nor disagree,Disagree,Disagree,,,,progress is still slow. cathedral square is unfortunately still depressing. Current Govt have done an appalling job of the recovery. business & deals are clearly favoured over the citizens & families. Shame!
Agree,Disagree,Strongly Disagree,Strongly Disagree,,,,"As mentioned before, there is no community where you feel belonged. "
,,,,,,,
Agree,Agree,Neither agree nor disagree,Neither agree nor disagree,"Entertainment: concerts, theatre, cinemas",,,The central city is largely irrelevant to me
Agree,Disagree,Agree,Disagree,,,Easy to bike anywhere from home,
Strongly Agree,Agree,Agree,Agree,,,,
Strongly Agree,Strongly Agree,Disagree,Agree,,,,
Agree,Neither agree nor disagree,Neither agree nor disagree,Agree,,,,"I've lived in Christchurch most my life and I have always been drawn to the city for recreation, work and living."
Strongly Agree,Agree,Disagree,Disagree,,,,
Neither agree nor disagree,Disagree,Disagree,Disagree,,,,
Agree,Disagree,Strongly Disagree,Neither agree nor disagree,,,,
Agree,Disagree,Agree,Neither agree nor disagree,,,,
Agree,Neither agree nor disagree,Agree,Agree,,,,
Agree,Neither agree nor disagree,Agree,Agree,,,,
Agree,Strongly Agree,Neither agree nor disagree,Neither agree nor disagree,,,,
,,,,,,,
Agree,Disagree,Disagree,Neither agree nor disagree,,,,
Agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,,,,
,,,,,,,
Neither agree nor disagree,Neither agree nor disagree,Disagree,Disagree,,,,
Agree,Disagree,Agree,Neither agree nor disagree,,,,
,,,,,,,
Agree,Disagree,Strongly Disagree,Strongly Disagree,,,,
,,,,,,,
Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,,,We feel the location is central to our friends/family/work/school etc,There's nothing there for me/us (apart from the Margaret Mahy playground.
Strongly Agree,Agree,Agree,Agree,,,,
,,,,,,,
,,,,,,,
Agree,Disagree,Neither agree nor disagree,Neither agree nor disagree,,,,
Strongly Agree,Agree,Neither agree nor disagree,Agree,"Arts - the varied and vibrant mix we have each year of festivals and other events - buskers festival, jazz festival, foreign film, Chinese lantern festival, food & wine festivals etc.",,Close proximity to the CBD.,
Neither agree nor disagree,Disagree,Agree,Neither agree nor disagree,,,,
Agree,Agree,Strongly Agree,Strongly Agree,,,,
Agree,Agree,Agree,Neither agree nor disagree,,,,
Agree,Disagree,Disagree,Neither agree nor disagree,,,,
Agree,Neither agree nor disagree,Agree,Neither agree nor disagree,,,,
Agree,Agree,Neither agree nor disagree,Neither agree nor disagree,,,,
Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,,Make it very easy for people to get around on foot and provide lots of free parking at the edge of the city center not in the middle.,,
Strongly Agree,Agree,Disagree,Neither agree nor disagree,,,,
Disagree,Disagree,Neither agree nor disagree,Agree,Whakaraupa,Informal quirky features such as provided by Gap Filler: these should be a permanent/ continuing aspect.,,
Agree,Agree,Agree,Agree,,,,
,,,,,,,
Strongly Agree,Agree,Agree,Neither agree nor disagree,,,Close to city centre,
Strongly Agree,Agree,Agree,Agree,,,,
Agree,Agree,Agree,Agree,,,,
Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,,,,
Agree,Neither agree nor disagree,Neither agree nor disagree,Agree,,,,
Strongly Agree,Agree,Strongly Agree,Agree,,,,
Agree,Disagree,Disagree,Disagree,,,,
Agree,Neither agree nor disagree,Strongly Disagree,Neither agree nor disagree,,,,
Strongly Agree,Agree,Agree,Agree,,,,
Neither agree nor disagree,Neither agree nor disagree,Strongly Disagree,Disagree,,,,
Agree,Neither agree nor disagree,Disagree,Neither agree nor disagree,,,,"Detours, still destroyed buildings disturbing.  "
Agree,Neither agree nor disagree,Agree,Neither agree nor disagree,,,,
Agree,Disagree,Neither agree nor disagree,Disagree,,,,
Agree,Disagree,Disagree,Disagree,,,,
,,,,,,,
Disagree,Strongly Disagree,Strongly Disagree,Disagree,,margaret mahy playground,away from the rebuild of chch,disjointed due to the earthquake
,,,,,,,
Neither agree nor disagree,Agree,Agree,Agree,,,,
Agree,Disagree,Disagree,Disagree,,,,
Agree,Neither agree nor disagree,Agree,Agree,,,"Near the Port Hills, which I use a lot recreationally. When I worked (I am now retired), I only had a 15 min cycle commute to work.",
,,,,,,,
Agree,Disagree,Disagree,Disagree,,,wide open views,
Agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,,,,
Agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,,,,
,,,,,,,
,,,,,,,
Strongly Agree,Neither agree nor disagree,Agree,Neither agree nor disagree,,,,
,,,,,,,
Agree,Agree,Agree,Neither agree nor disagree,,,,"Belong where? we hardly have a central city, & I do not like the city at the moment"
Agree,Disagree,Neither agree nor disagree,Neither agree nor disagree,,,,"Parking is a huge issue in the central city, AS IS THE SEWAGE SMELL"
Agree,Agree,Agree,Agree,,,,
