ArtWorkLocationID,ArtWorkType,Title,PrimaryArtist,ExecutionDate,InstallationDate,Setting,Category,Ownership
1,Monument/Sculpture,Godley Statue,Thomas Woolner,1867,1933,"Cathedral Square - In front of the Cathedral, facing the Cathedral, facing the Cathedral and Lyttelton.",Urban and Environmental Artwork,Christchurch City Council
2,Monument/Sculpture,Citizens' War Memorial/Cenotaph,William Trethewey,1936,1937,"Cathedral Square - Beside the Anglican Cathedral, in front of the Vistors Centre.",Urban and Environmental Artwork,Christchurch City Council
3,Sculpture,Industry and Concord,George Frampton,1882,1887,Municipal Chambers - Set into the alcoves of the building on the South Wall.,Intergrated Artwork,Christchurch City Council
4,Mural/Painting,Rainbow Pieces,Patrick Hanly,1972,1972,"Town Hall, Kilmore Street - Mural mounted on the walls of the conference room on the second floor.",Urban and Environmental Artwork,Christchurch City Council
5,Monument/Sculpture,Kate Sheppard National Memorial,Magriet Windhausen,1993,1993,"Oxford Terrace - Bank of the Avon, Oxford Terrace, beside the Municipal Chambers.",Urban and Environmental Artwork,Christchurch City Council
6,Monument/Sculpture,Cook Statue,William Trethewey,1932,1932,Victoria Square - In the middle of the square.,Urban and Environmental Artwork,Christchurch City Council
7,Monument/Sculpture,Queen Victoria Jubilee Memorial,Francis John Williamson,1903,1903,Victoria Square - Corner of Armagh and Colombo Streets.,Urban and Environmental Artwork,Christchurch City Council
8,Fountain/Drinking Fountain,Ferrier Fountain,,1972,NULL,"Town Hall, Kilmore Street - Set on the avon River within the Town hall complex, facing Victoria Square.",Intergrated Artwork,Christchurch City Council
9,Sculpture,Tile Medallions,Bing Dawe,1987,1987,"South Power Building, Manchester Street - Set into the pavement in front of  the display windows outside the entrance of the building.",Non Public Artwork,Christchurch City Council
10,Fountain/Drinking Fountain,Bowker Fountain,A Galbraith,1931,1972,Victoria Square - Colombo Street side of Victoria Square.,Intergrated Artwork,Christchurch City Council
11,Embroidery/Tapestry/Weaving/Mural/Painting,The Women's Suffrage Commemorative Wall Hanging,Di Ffrench,1993,1993,Christchurch Town Hall - Mounted on the wall above stairwell.,Community Artwork,Christchurch City Council
12,Monument/Sculpture,Fitzgerald Statue,Francis Shurrock,1939,1939,Placed at the end of Cashel Street on Rolleston Avenue - Has a backdrop of trees.,Urban and Environmental Artwork,Christchurch City Council
13,Sculpture,Floral Clock,,1955,NULL,Victoria Square - Situated in front of the Salvation Army citadel.,Intergrated Artwork,Christchurch City Council
14,Sculpture,The Reintroduction of the Fabulous Races,Bing Dawe,1990,NULL,"Market Square, Arts Centre - Grass lawn on Market square, Worcester Boulevard.",Urban and Environmental Artwork,Christchurch City Council
15,Sculpture,Poupou,Riki Manuel,1994,1994,Victoria Square - On the Bank of the Avon river across from the Town Hall complex.,Urban and Environmental Artwork,Christchurch City Council
16,Sculpture,Taurapa Christchurch/Seattle Sister City Sculpture,Chris Booth,1997,1997,"Cambridge Terrace - Bank of the Avon, near Edmonds Band Rotunda.",Urban and Environmental Artwork,Other
17,Monument/Sculpture,Scott Statue,Kathleen Scott,1917,1917,Corner of Worcester Street and Oxford Terrace - Set on the gress verge facing the Municpal Chambers with the back of the statue to the South Pole.,Urban and Environmental Artwork,Christchurch City Council
18,Monument,Bridge of Remembrance,Prouse,1924,1924,Cashel Street Bridge - Pedestrian bridge linking Cambridge and Oxford Terrace.,Intergrated Artwork,Christchurch City Council
19,Monument/Sculpture,Rolleston Statue,Herbert Hampton,1906,1906,"Rolleston Avenue - Placed in front of the Canterbury Museum, looking straight down Worcester Street.",Urban and Environmental Artwork,Christchurch City Council
20,Fountain/Drinking Fountain,Peacock Fountain,,1911,1996,"Christchurch Botanic Gardens - Placed in the Gardens, on the south side of the Canterbury Museum.",Intergrated Artwork,Christchurch City Council
21,Monument,Edmonds Clock Tower,William Trethewey,1926,1929,Corner of Oxford Terrace and Madras Street - Bank of the Avon.,Urban and Environmental Artwork,Christchurch City Council
22,Monument/Sculpture,Sir John Hall Bust,Charles Kidson,1908,NULL,"Christchurch Civic Offices, Tuam Street - Placed in a corridor of the first level of the Civic Offices building.",Urban and Environmental Artwork,Christchurch City Council
23,Mural/Painting,Trickweld Mural,Tim Croucher,1990,NULL,"Madras Street - South wall of Perry's Café, facing Big Fresh car park.",Non Public Artwork,Other
24,Mural/Painting,Santorini Mural,George Kerdemlidis,1993,NULL,"Santorini Restaurant, corner Gloucester Street and Oxford Terrace - Exterior wall of resturant, Oxford Terrace side.",Community Artwork,Other
25,Mural/Painting,Mid Summer Night's dream,Ezra Briggs,1908,NULL,"Theatre Royal, Gloucester Street - Mounted into a ceiling dome above the stage and audience.",Non Public Artwork,Other
26,Mural/Painting,Stamp Mural,,NULL,NULL,"Strand Alley, Cathedral Square - Wall of ANZ.",Community Artwork,Christchurch City Council
27,Mural/Painting,Tuam Street Car Park Mural,Martin Zimmerman,NULL,NULL,"Building in the Tuam Street car park, Tuam Street - South wall of stucture.",Community Artwork,Christchurch City Council
28,Mural/Painting,Tuam Street Car Park Mural,Simon Ogden,NULL,NULL,"Building Structure, Tuam Street Car Park, Tuam Street - West wall of Building stucture.",Non Public Artwork,Christchurch City Council
29,Mural/Painting,Tuam Street Creche Mural,Simon Ogden,1987,NULL,"Tuam Street Early Learning Centre, Tuam Street - Painted onto exterior of building.",Community Artwork,Other
30,Mural/Painting,Charlie B's Backpackers Mural,Russel Davies,NULL,NULL,"Charlie B's backpackers, corner Madras Street and Glouchester Streets - Exterior wall on Gloucester Street side.",Non Public Artwork,Other
31,Mural/Painting,Manchester Street Car Park Mural,,NULL,NULL,Manchester Street Car Park - Exterior Wall.,Community Artwork,Christchurch City Council
32,Sculpture,E Noho Ra De Chirico,Paul Dibble,1995,1996,Robert McDougall Art Gallery - Situated at the portico to the Gallery.,Urban and Environmental Artwork,Christchurch City Council
33,Monument/Sculpture,Moorhouse Statue,George Anderson Lawson,1885,1885,Christchurch Botanic Gardens - Entrance off Rolleston Avenue to the Gardens.,Urban and Environmental Artwork,Christchurch City Council
34,Sculpture,Wrestlers,Llewellyn Summers,1985,1990,"South Hagley Park - Woodlands area, beside Avon River.",Urban and Environmental Artwork,Christchurch City Council
35,Sculpture,Ex Tenebris Lux,Ernest Gillick,1937,1980,"Christchurch Botanic Gardens, Rolleston Avenue - Placed outside the entrance to the Robert McDougall Art Gallery.",Urban and Environmental Artwork,Christchurch City Council
36,Fountain/Drinking Fountain/Sculpture,Taking Flight,Phillip Price,1993,1993,Christchurch Botanic Gardens - Woodlands area of South Hagley Park.,Intergrated Artwork,Christchurch City Council
37,Sculpture,Merger,Bianca Van Rangelrooy,1989,1989,Christchurch Law Courts - Mounted to the wall above the entrance to No 1 District Court.,Urban and Environmental Artwork,Other
38,Sculpture,Caryatid,Mark Whyte,1989,1989,"Christchurch law Courts, Durham Street - Grass frontage on the Avon River bank.",Urban and Environmental Artwork,Other
39,Sculpture,Untitled,Richard McIlroy,1989,1989,"Christchurch Law Courts, Durham Street - Grass frontage outside the Law Library and the Salvation Army Citadel.",Urban and Environmental Artwork,Other
40,Sculpture,Nga Kete Wananga,Cliff Whiting,1989,1989,"Christchurch Law Courts, Durham Street - Mounted onto internal wall.",Urban and Environmental Artwork,Other
41,Mural/Painting,Te Toi Mana Maori Art Gallery Mural,Riki Manuel,NULL,NULL,"Te Toi Mana Maori Art Gallery, Arts Centre - Painted on the exterior wall of the gallery.",Urban and Environmental Artwork,Other
42,Mural/Painting,Floyd's Mural,Tania Hoar,NULL,NULL,"Floyd's workshop, Durham Street - Exterior wall.",Non Public Artwork,Other
43,Mural/Painting,North Hagley Park Mural,George Kerdemlidis,1996,1996,"Shelter, North Hagley Park, near the Chateau - Inside wall of the shelter.",Community Artwork,Christchurch City Council
