tempParkAssetID,FeatureCategory
786,Furniture - BBQ
1478,Furniture - BBQ
10106,Furniture - BBQ
20928,Furniture - BBQ
30892,Furniture - BBQ
43783,Furniture - BBQ
49421,Furniture - BBQ
57170,Furniture - BBQ
57655,Furniture - BBQ
72317,Furniture - BBQ
73802,Furniture - BBQ
87306,Furniture - BBQ
87320,Furniture - BBQ
87376,Furniture - BBQ
87398,Furniture - BBQ
87428,Furniture - BBQ
87488,Furniture - BBQ
87546,Furniture - BBQ
87551,Furniture - BBQ
87552,Furniture - BBQ
87554,Furniture - BBQ
87559,Furniture - BBQ
90532,Furniture - BBQ
90533,Furniture - BBQ
92028,Furniture - BBQ
95396,Furniture - BBQ
95450,Furniture - BBQ
95496,Furniture - BBQ
95551,Furniture - BBQ
