Incident ID, Reported on, Incident type, Address
110118,31/12/2015 at 19:21,Graffiti,"81 Banks Ave, Dallington, Christchurch 8061, New Zealand"
110129,31/12/2015 at 21:50,Rubbish/Recycling,"45 Ashwood St, Parklands, Christchurch 8083, New Zealand"
110213,04/01/2016 at 10:54,Graffiti,"676 Avonside Dr, Avonside, Christchurch 8061, New Zealand"
110214,04/01/2016 at 10:54,Graffiti,"666 Avonside Dr, Avonside, Christchurch 8061, New Zealand"
110215,04/01/2016 at 10:54,Graffiti,"69 McLean St, Linwood, Christchurch 8062, New Zealand"
110216,04/01/2016 at 10:54,Graffiti,"1 Kerrs Rd, Linwood, Christchurch 8062, New Zealand"
110217,04/01/2016 at 10:54,Graffiti,"1 Gayhurst Rd, Dallington, Christchurch 8061, New Zealand"
110218,04/01/2016 at 10:57,Graffiti,"86 Retreat Rd, Avonside, Christchurch 8061, New Zealand"
110219,04/01/2016 at 10:58,Graffiti,"72 Retreat Rd, Avonside, Christchurch 8061, New Zealand"
110220,04/01/2016 at 10:58,Graffiti,"55-57 Woodham Rd, Linwood, Christchurch 8062, New Zealand"
110221,04/01/2016 at 10:58,Graffiti,"34-40 Woodham Rd, Linwood, Christchurch 8062, New Zealand"
110222,04/01/2016 at 10:58,Graffiti,"29 Woodham Rd, Linwood, Christchurch 8062, New Zealand"
110223,04/01/2016 at 10:59,Graffiti,"74 Avonside Dr, Linwood, Christchurch 8011, New Zealand"
110224,04/01/2016 at 10:59,Graffiti,"12 Linwood Ave, Linwood, Christchurch 8011, New Zealand"
110225,04/01/2016 at 10:59,Graffiti,"120 Avonside Dr, Linwood, Christchurch 8011, New Zealand"
110226,04/01/2016 at 10:59,Graffiti,"74 Avonside Dr, Linwood, Christchurch 8011, New Zealand"
110227,04/01/2016 at 10:59,Graffiti,"104 Avonside Dr, Linwood, Christchurch 8011, New Zealand"
110228,04/01/2016 at 11:00,Graffiti,"234 Fitzgerald Ave, Christchurch Central, Christchurch 8011, New Zealand"
110229,04/01/2016 at 11:02,Graffiti,"278-284 Kilmore St, Christchurch Central, Christchurch 8011, New Zealand"
110230,04/01/2016 at 11:02,Graffiti,"13 Dawson St, Christchurch Central, Christchurch 8011, New Zealand"
110231,04/01/2016 at 11:02,Graffiti,"208 Kilmore St, Christchurch Central, Christchurch 8011, New Zealand"
110232,04/01/2016 at 11:02,Graffiti,"192 Gloucester St, Christchurch Central, Christchurch 8011, New Zealand"
110233,04/01/2016 at 11:02,Graffiti,"76 Chester St E, Christchurch Central, Christchurch 8011, New Zealand"
110234,04/01/2016 at 11:02,Graffiti,"211 Gloucester St, Christchurch Central, Christchurch 8011, New Zealand"
110235,04/01/2016 at 11:03,Graffiti,"130 Madras St, Christchurch Central, Christchurch 8011, New Zealand"
110236,04/01/2016 at 11:03,Graffiti,"133 Madras St, Christchurch Central, Christchurch 8011, New Zealand"
110237,04/01/2016 at 11:03,Graffiti,"118 Madras St, Christchurch Central, Christchurch 8011, New Zealand"
110238,04/01/2016 at 11:03,Graffiti,"109-113 Gasson St, Sydenham, Christchurch 8011, New Zealand"
110239,04/01/2016 at 11:03,Graffiti,"113 Buckleys Rd, Linwood, Christchurch 8062, New Zealand"
110240,04/01/2016 at 11:03,Graffiti,"103 Buckleys Rd, Linwood, Christchurch 8062, New Zealand"
110241,04/01/2016 at 11:03,Graffiti,"36 Buckleys Rd, Linwood, Christchurch 8062, New Zealand"
110242,04/01/2016 at 11:04,Graffiti,"241A Linwood Ave, Linwood, Christchurch 8011, New Zealand"
110243,04/01/2016 at 11:04,Graffiti,"67 Aldwins Rd, Phillipstown, Christchurch 8062, New Zealand"
110244,04/01/2016 at 11:04,Graffiti,"142 Ensors Rd, Waltham, Christchurch 8011, New Zealand"
110245,04/01/2016 at 11:04,Graffiti,"6 Mackenzie Ave, Woolston, Christchurch 8023, New Zealand"
110246,04/01/2016 at 11:04,Graffiti,"8 Mackenzie Ave, Woolston, Christchurch 8023, New Zealand"
110247,04/01/2016 at 11:04,Graffiti,"141 Ensors Rd, Waltham, Christchurch 8011, New Zealand"
110248,04/01/2016 at 11:05,Graffiti,"133-137 Ensors Rd, Waltham, Christchurch 8011, New Zealand"
110249,04/01/2016 at 11:05,Graffiti,"501 Brougham St, Waltham, Christchurch 8023, New Zealand"
110250,04/01/2016 at 11:05,Graffiti,"24 Opawa Rd, Waltham, Christchurch 8023, New Zealand"
110251,04/01/2016 at 11:05,Graffiti,"91 Shakespeare Rd, Waltham, Christchurch 8023, New Zealand"
110252,04/01/2016 at 11:05,Graffiti,"7 Shakespeare Rd, Waltham, Christchurch 8023, New Zealand"
110253,04/01/2016 at 11:05,Graffiti,"203 Waltham Rd, Sydenham, Christchurch 8023, New Zealand"
110254,04/01/2016 at 11:05,Graffiti,"185A Wordsworth St, Sydenham, Christchurch 8023, New Zealand"
110255,04/01/2016 at 11:06,Graffiti,"190B Wordsworth St, Sydenham, Christchurch 8023, New Zealand"
110256,04/01/2016 at 11:06,Graffiti,"93 Gasson St, Sydenham, Christchurch 8023, New Zealand"
110263,04/01/2016 at 11:54,Graffiti,"90 Butterfield Ave, Linwood, Christchurch 8062, New Zealand"
110268,04/01/2016 at 18:23,Graffiti,"284 Halswell Rd, Halswell, Christchurch 8025, New Zealand"
110269,04/01/2016 at 19:00,Parks,"1, Simeon Street, Somerfield, 8024, Canterbury"
110276,04/01/2016 at 19:49,Parks,"Gabriel Grove, Halswell, Christchurch 8025, New Zealand"
110280,04/01/2016 at 20:05,Wastewater/Stormwater,"69 Beatty St, South New Brighton, Christchurch 8062, New Zealand"
110282,04/01/2016 at 20:16,Rubbish/Recycling,"37, Goodman Street, Burwood, 8061, Canterbury"
110283,04/01/2016 at 20:17,Rubbish/Recycling,"23, Reaby Street, Burwood, 8061, Canterbury"
110284,04/01/2016 at 20:20,Rubbish/Recycling,"11, Sharlick Street, Avondale, 8061, Canterbury"
110285,04/01/2016 at 20:24,Rubbish/Recycling,"10, Melody Lane, Burwood, 8061, Canterbury"
110286,04/01/2016 at 20:26,Rubbish/Recycling,"213, Locksley Avenue, Dallington, 8061, Canterbury"
110287,04/01/2016 at 20:28,Rubbish/Recycling,"18, Breezes Road, Avondale, 8061, Canterbury"
110317,04/01/2016 at 21:45,Rubbish/Recycling,"32–80, Avonside Drive, Linwood, 8011, Canterbury"
110319,04/01/2016 at 21:47,Rubbish/Recycling,"63, River Road, Richmond, 8013, Canterbury"
110320,04/01/2016 at 21:47,Rubbish/Recycling,"75, River Road, Richmond, 8013, Canterbury"
110323,04/01/2016 at 21:56,Parks,"17 Connal St, Woolston, Christchurch 8023, New Zealand"
110328,04/01/2016 at 21:59,Roading/Streets,"19, Lochee Road, Upper Riccarton, 8041, Canterbury"
110332,04/01/2016 at 22:04,Roading/Streets,"5 McLeod St, Richmond, Christchurch 8013, New Zealand"
110337,04/01/2016 at 22:13,Rubbish/Recycling,"81, Birchfield Avenue, Dallington, 8061, Canterbury"
110341,04/01/2016 at 22:25,Rubbish/Recycling,"23B, Reaby Street, Burwood, 8061, Canterbury"
110346,04/01/2016 at 22:33,Rubbish/Recycling,"42, Dunair Drive, Burwood, 8083, Canterbury"
110349,04/01/2016 at 22:37,Rubbish/Recycling,"6, Amber Grove, Burwood, 8083, Canterbury"
110351,04/01/2016 at 22:42,Roading/Streets,"819 Ferry Rd, Woolston, Christchurch 8023, New Zealand"
110358,04/01/2016 at 22:59,Parks,"Richmond, 8013, Canterbury"
110362,04/01/2016 at 23:02,Rubbish/Recycling,"50, Wattle Drive, New Brighton, 8083, Canterbury"
110369,04/01/2016 at 23:21,Rubbish/Recycling,"1–5, Morganwood Street, Bexley, 8061, Canterbury"
110371,04/01/2016 at 23:27,Rubbish/Recycling,"25, Morganwood Street, Bexley, 8061, Canterbury"
110377,04/01/2016 at 23:31,Rubbish/Recycling,"41, Wetlands Grove, Bexley, 8061, Canterbury"
110378,04/01/2016 at 23:34,Rubbish/Recycling,"41, Wetlands Grove, Bexley, 8061, Canterbury"
110380,04/01/2016 at 23:34,Rubbish/Recycling,"34, Wetlands Grove, Bexley, 8061, Canterbury"
110382,04/01/2016 at 23:43,Rubbish/Recycling,"24, Velsheda Street, Bexley, 8061, Canterbury"
