tempParkAssetID,Feature,Use,ExternalBuildingMaterial,InternalBuildingMaterial,RoofMaterial,BuildingAreaM2,NumberOfCubicles,NumberOfAccessibleUnits,Comment
747,Building - Toilet/Pavilion: Change Room/Toilet,Separate Male/Female,Concrete Block,Not Applicable,Colour Steel,240,4,0,locked. Maybe unisex. Internal wall material  not known
6243,Building - Toilet/Pavilion: Change Room/Toilet,Separate Male/Female,Not Applicable,Not Applicable,Colour Steel,,3,1,"locked.  There is a mens a womans and a disabled door, and there are showers inside."
11472,Building - Toilet/Pavilion: Change Room/Toilet,Separate Male/Female,Concrete Block,Not Applicable,Colour Steel,10,2,2,4*2.5m
326,Building - Toilet/Pavilion: Change Room/Toilet,Separate Male/Female,Standard Weatherboard,Plaster Board,Colour Steel,60,6,6,"new toilet block, position may be different from old toilets shown in aerial photo"
10390,Building - Toilet/Pavilion: Change Room/Toilet,Unisex,Wood,Wood,Colour Steel,6.25,1,1,
35967,Building - Toilet/Pavilion: Change Room/Toilet,Separate Male/Female,Concrete Block,Concrete,Iron,115.3,2,2,
46776,Building - Toilet/Pavilion: Change Room/Toilet,Separate Male/Female,Concrete Block,Concrete,Iron,61.6,3,1,"also family room, but currently locked...building not perfect rectangle, average width of 14m* 4.4m length"
53907,Building - Toilet/Pavilion: Change Room/Toilet,Separate Male/Female,Concrete Block,Concrete,Iron,10,2,2,4m*2.5m
67053,Building - Toilet/Pavilion: Change Room/Toilet,Separate Male/Female,Concrete Block,Concrete,Iron,109.34,2,,walls have plenty of graffiti ... 15.4m*7.1m
68963,Building - Toilet/Pavilion: Change Room/Toilet,Separate Male/Female,Not Applicable,Concrete,Iron,26.04,4,4,"external is solid concrete...graffiti see 3299, 3300, 3293, 3294...4.2m*6.2m"
54921,Building - Toilet/Pavilion: Change Room/Toilet,Separate Male/Female,Concrete Block,Not Applicable,Iron,10,2,2,4m*2.5m
12375,Building - Toilet/Pavilion: Change Room/Toilet,Separate Male/Female,Concrete Block,Concrete,Not Applicable,120,4,4,"graffiti...see 0030, 0031"
109188,Building - Toilet/Pavilion: Changing Room,Unisex,Stainless Steel,Gib Board,Colour Steel,,,,
109189,Building - Toilet/Pavilion: Changing Room,Unisex,Stainless Steel,Gib Board,Colour Steel,,,,
74473,Building - Toilet/Pavilion: Changing Room,Unisex,Concrete Block,Concrete,Iron,,,,Changeroom only - no toilets. 4.5m deep by 7.0m wide.
31354,Building - Toilet/Pavilion: Changing Room,Separate Male/Female,Concrete Block,Not Applicable,Iron,176,2,2,
38983,Building - Toilet/Pavilion: Pavilion,Separate Male/Female,Concrete Block,Not Applicable,Colour Steel,37.6,2,2,
72668,Building - Toilet/Pavilion: Pavilion,Separate Male/Female,Concrete Block,Not Applicable,Colour Steel,196,,,
72189,Building - Toilet/Pavilion: Pavilion,Separate Male/Female,Brick,Not Applicable,Decramastic Tiles,200,,,locked toilets. Christs' College Pavilion.
7572,Building - Toilet/Pavilion: Pavilion &Toilet,Separate Male/Female,Concrete Block,Concrete,Colour Steel,,2,2,
12227,Building - Toilet/Pavilion: Pavilion &Toilet,Separate Male/Female,Concrete Block,Concrete,Colour Steel,124,2,2,
17804,Building - Toilet/Pavilion: Pavilion &Toilet,Separate Male/Female,Concrete Block,Concrete,Colour Steel,50,2,2,
61784,Building - Toilet/Pavilion: Pavilion &Toilet,Separate Male/Female,Concrete Block,Concrete,Colour Steel,132.6,2,2,
16049,Building - Toilet/Pavilion: Pavilion &Toilet,Unisex,Concrete Block,Concrete,Colour Steel,310,3,1,
61385,Building - Toilet/Pavilion: Pavilion &Toilet,Unisex,Plaster Board,Gib Board,Colour Steel,90,1,1,
28824,Building - Toilet/Pavilion: Pavilion &Toilet,Separate Male/Female,Concrete Block,Not Applicable,Colour Steel,83.6,3,2,most of building is a private sportsclub
30486,Building - Toilet/Pavilion: Pavilion &Toilet,Separate Male/Female,Concrete Block,Not Applicable,Colour Steel,115,3,2,
33149,Building - Toilet/Pavilion: Pavilion &Toilet,Separate Male/Female,Concrete Block,Not Applicable,Colour Steel,111,2,0,
47891,Building - Toilet/Pavilion: Pavilion &Toilet,Separate Male/Female,Concrete Block,Not Applicable,Colour Steel,61.2,2,2,
49086,Building - Toilet/Pavilion: Pavilion &Toilet,Separate Male/Female,Concrete Block,Not Applicable,Colour Steel,112.5,2,2,
51158,Building - Toilet/Pavilion: Pavilion &Toilet,Separate Male/Female,Concrete Block,Not Applicable,Colour Steel,109,2,0,
72241,Building - Toilet/Pavilion: Pavilion &Toilet,Separate Male/Female,Concrete Block,Not Applicable,Colour Steel,220,4,2,
38876,Building - Toilet/Pavilion: Pavilion &Toilet,Separate Male/Female,Rough Cast,Concrete,Decramastic Tiles,121.5,3,3,
4424,Building - Toilet/Pavilion: Pavilion &Toilet,Separate Male/Female,Concrete Block,Concrete,Iron,150,5,5,"toilets, showers, laundry, and kitchen block."
34300,Building - Toilet/Pavilion: Pavilion &Toilet,Separate Male/Female,Concrete Block,Concrete,Iron,106.4,2,0,
43974,Building - Toilet/Pavilion: Pavilion &Toilet,Separate Male/Female,Concrete Block,Concrete,Iron,68.04,2,2,12.6*5.4m
57413,Building - Toilet/Pavilion: Pavilion &Toilet,Separate Male/Female,Concrete Block,Concrete,Iron,21.6,3,2,public toilets as part of soccer clubrooms...only calculated toilet section of building ... 3m*7.2m
66877,Building - Toilet/Pavilion: Pavilion &Toilet,Separate Male/Female,Concrete Block,Concrete,Iron,18,2,1,public toilets attached to cricket clubrooms and chemical storage on other side...3m*6m...
38071,Building - Toilet/Pavilion: Pavilion &Toilet,Unisex,Brick,Concrete,Iron,40,1,1,
70356,Building - Toilet/Pavilion: Pavilion &Toilet,Separate Male/Female,Concrete Block,Not Applicable,Iron,196,3,,
5066,Building - Toilet/Pavilion: Pavilion &Toilet,Separate Male/Female,Wood,Wood,Iron,,2,1,"12m wide, 18m long. Unable to gain aacces."
993,Building - Toilet/Pavilion: Pavilion &Toilet,Unisex,Wood,Wood,Iron,56,8,7,unable to gain access. toilet appears disused.
3004,Building - Toilet/Pavilion: Pavilion &Toilet,Unisex,Wood,Wood,Iron,,9.5,6.5,area includes deck.
1268,Building - Toilet/Pavilion: Toilet,Separate Male/Female,Concrete Block,Concrete,Clearlite Plastic,16,2,2,
4059,Building - Toilet/Pavilion: Toilet,Separate Male/Female,Concrete Block,Concrete,Colour Steel,20,2,4,"2.5m wide, 8m long."
4731,Building - Toilet/Pavilion: Toilet,Separate Male/Female,Wood,Concrete,Colour Steel,25,3,3,
10102,Building - Toilet/Pavilion: Toilet,Separate Male/Female,Concrete Block,Concrete,Colour Steel,35,4,2,
12884,Building - Toilet/Pavilion: Toilet,Separate Male/Female,Concrete Block,Concrete,Colour Steel,35,2,2,
13030,Building - Toilet/Pavilion: Toilet,Separate Male/Female,Concrete Block,Concrete,Colour Steel,10,2,2,
13442,Building - Toilet/Pavilion: Toilet,Separate Male/Female,Concrete Block,Concrete,Colour Steel,15,2,2,
13525,Building - Toilet/Pavilion: Toilet,Separate Male/Female,Concrete Block,Concrete,Colour Steel,10,2,2,
16876,Building - Toilet/Pavilion: Toilet,Separate Male/Female,Concrete Block,Concrete,Colour Steel,10,2,2,
26496,Building - Toilet/Pavilion: Toilet,Separate Male/Female,Brick,Concrete,Colour Steel,19.36,2,2,
