tempParkAssetID,Feature,TotalNumberOfPlayItems
134,Playground Whole Site: Playground Whole site,20
639,Playground Whole Site: Playground Whole site,4
2519,Playground Whole Site: Playground Whole site,880
7541,Playground Whole Site: Playground Whole site,3
8026,Playground Whole Site: Playground Whole site,3
8669,Playground Whole Site: Playground Whole site,4
8825,Playground Whole Site: Playground Whole site,4
8910,Playground Whole Site: Playground Whole site,4
8939,Playground Whole Site: Playground Whole site,4
8981,Playground Whole Site: Playground Whole site,7
9022,Playground Whole Site: Playground Whole site,13
9132,Playground Whole Site: Playground Whole site,7
9202,Playground Whole Site: Playground Whole site,4
9413,Playground Whole Site: Playground Whole site,7
9774,Playground Whole Site: Playground Whole site,5
9893,Playground Whole Site: Playground Whole site,3
10461,Playground Whole Site: Playground Whole site,3
10655,Playground Whole Site: Playground Whole site,4
10767,Playground Whole Site: Playground Whole site,5
11107,Playground Whole Site: Playground Whole site,5
11261,Playground Whole Site: Playground Whole site,13
11478,Playground Whole Site: Playground Whole site,6
11774,Playground Whole Site: Playground Whole site,4
11872,Playground Whole Site: Playground Whole site,1
11950,Playground Whole Site: Playground Whole site,1
11998,Playground Whole Site: Playground Whole site,5
12115,Playground Whole Site: Playground Whole site,3
12211,Playground Whole Site: Playground Whole site,5
12276,Playground Whole Site: Playground Whole site,2
12303,Playground Whole Site: Playground Whole site,3
12337,Playground Whole Site: Playground Whole site,9
12685,Playground Whole Site: Playground Whole site,4
12939,Playground Whole Site: Playground Whole site,3
12995,Playground Whole Site: Playground Whole site,4
13136,Playground Whole Site: Playground Whole site,2
13391,Playground Whole Site: Playground Whole site,13
13693,Playground Whole Site: Playground Whole site,4
14018,Playground Whole Site: Playground Whole site,3
14075,Playground Whole Site: Playground Whole site,3
14110,Playground Whole Site: Playground Whole site,5
14167,Playground Whole Site: Playground Whole site,4
14194,Playground Whole Site: Playground Whole site,2
14229,Playground Whole Site: Playground Whole site,4
14274,Playground Whole Site: Playground Whole site,5
14400,Playground Whole Site: Playground Whole site,4
14449,Playground Whole Site: Playground Whole site,7
14605,Playground Whole Site: Playground Whole site,2
14863,Playground Whole Site: Playground Whole site,3
15111,Playground Whole Site: Playground Whole site,5
15145,Playground Whole Site: Playground Whole site,2
15408,Playground Whole Site: Playground Whole site,2
15526,Playground Whole Site: Playground Whole site,4
15544,Playground Whole Site: Playground Whole site,8
15615,Playground Whole Site: Playground Whole site,4
15829,Playground Whole Site: Playground Whole site,1
16724,Playground Whole Site: Playground Whole site,1
16764,Playground Whole Site: Playground Whole site,4
16807,Playground Whole Site: Playground Whole site,4
16902,Playground Whole Site: Playground Whole site,5
17330,Playground Whole Site: Playground Whole site,4
17380,Playground Whole Site: Playground Whole site,3
17467,Playground Whole Site: Playground Whole site,4
17522,Playground Whole Site: Playground Whole site,4
17673,Playground Whole Site: Playground Whole site,5
17721,Playground Whole Site: Playground Whole site,2
17821,Playground Whole Site: Playground Whole site,5
18061,Playground Whole Site: Playground Whole site,2
18361,Playground Whole Site: Playground Whole site,3
18440,Playground Whole Site: Playground Whole site,2
18487,Playground Whole Site: Playground Whole site,6
18647,Playground Whole Site: Playground Whole site,3
18770,Playground Whole Site: Playground Whole site,4
19100,Playground Whole Site: Playground Whole site,2
19284,Playground Whole Site: Playground Whole site,4
19344,Playground Whole Site: Playground Whole site,3
19357,Playground Whole Site: Playground Whole site,5
19402,Playground Whole Site: Playground Whole site,3
19463,Playground Whole Site: Playground Whole site,2
19500,Playground Whole Site: Playground Whole site,4
19711,Playground Whole Site: Playground Whole site,2
19785,Playground Whole Site: Playground Whole site,3
19802,Playground Whole Site: Playground Whole site,6
19872,Playground Whole Site: Playground Whole site,3
19895,Playground Whole Site: Playground Whole site,2
20360,Playground Whole Site: Playground Whole site,6
20776,Playground Whole Site: Playground Whole site,3
20981,Playground Whole Site: Playground Whole site,5
21297,Playground Whole Site: Playground Whole site,8
21390,Playground Whole Site: Playground Whole site,5
21686,Playground Whole Site: Playground Whole site,3
21794,Playground Whole Site: Playground Whole site,2
22215,Playground Whole Site: Playground Whole site,46
22413,Playground Whole Site: Playground Whole site,5
22707,Playground Whole Site: Playground Whole site,3
22816,Playground Whole Site: Playground Whole site,4
23020,Playground Whole Site: Playground Whole site,3
23577,Playground Whole Site: Playground Whole site,6
23710,Playground Whole Site: Playground Whole site,2
23941,Playground Whole Site: Playground Whole site,5
24384,Playground Whole Site: Playground Whole site,2
24515,Playground Whole Site: Playground Whole site,5
24629,Playground Whole Site: Playground Whole site,4
24675,Playground Whole Site: Playground Whole site,2
24732,Playground Whole Site: Playground Whole site,2
24760,Playground Whole Site: Playground Whole site,3
24837,Playground Whole Site: Playground Whole site,4
24885,Playground Whole Site: Playground Whole site,3
24942,Playground Whole Site: Playground Whole site,3
24966,Playground Whole Site: Playground Whole site,2
25178,Playground Whole Site: Playground Whole site,7
25311,Playground Whole Site: Playground Whole site,2
25441,Playground Whole Site: Playground Whole site,6
25562,Playground Whole Site: Playground Whole site,5
25692,Playground Whole Site: Playground Whole site,3
25774,Playground Whole Site: Playground Whole site,5
25817,Playground Whole Site: Playground Whole site,4
25978,Playground Whole Site: Playground Whole site,2
26159,Playground Whole Site: Playground Whole site,4
26339,Playground Whole Site: Playground Whole site,3
26492,Playground Whole Site: Playground Whole site,5
26578,Playground Whole Site: Playground Whole site,4
26707,Playground Whole Site: Playground Whole site,2
26960,Playground Whole Site: Playground Whole site,2
27044,Playground Whole Site: Playground Whole site,4
27350,Playground Whole Site: Playground Whole site,5
27473,Playground Whole Site: Playground Whole site,4
27502,Playground Whole Site: Playground Whole site,4
27564,Playground Whole Site: Playground Whole site,2
27672,Playground Whole Site: Playground Whole site,2
27772,Playground Whole Site: Playground Whole site,5
27939,Playground Whole Site: Playground Whole site,2
28009,Playground Whole Site: Playground Whole site,4
28037,Playground Whole Site: Playground Whole site,3
28261,Playground Whole Site: Playground Whole site,1
28489,Playground Whole Site: Playground Whole site,4
28684,Playground Whole Site: Playground Whole site,3
28957,Playground Whole Site: Playground Whole site,2
29434,Playground Whole Site: Playground Whole site,4
29480,Playground Whole Site: Playground Whole site,1
29618,Playground Whole Site: Playground Whole site,2
29820,Playground Whole Site: Playground Whole site,8
29896,Playground Whole Site: Playground Whole site,6
29991,Playground Whole Site: Playground Whole site,3
30218,Playground Whole Site: Playground Whole site,4
30314,Playground Whole Site: Playground Whole site,4
