localtime, kiteid, temperature, humidity, pressure, luminosity, co2, sound
2016-07-26 18:16:06.019102,ch_kite_0001,7.0,73.0,97658.0,14.0,448.0,13543.8
2016-07-26 18:16:42.842872,ch_kite_0003,8.0,66.6,97928.8,0.0,440.4,13605.0
2016-07-26 18:18:50.850587,ch_kite_0001,7.0,73.0,97655.2,14.0,427.2,13403.0
2016-07-26 18:18:56.265535,ch_kite_0002,-1,-1,-1,-33.0,-1,-1
2016-07-26 18:19:14.653978,ch_kite_0003,8.0,67.0,97931.6,0.0,435.6,13418.2
2016-07-26 18:19:46.881995,ch_kite_0004,7.0,78.0,97724.6,0.0,462.6,13320.4
2016-07-26 18:20:15.379623,ch_kite_0001,7.0,73.0,97654.0,14.0,430.2,13404.2
2016-07-26 18:20:30.207388,ch_kite_0002,-1,-1,-1,-33.0,-1,-1
2016-07-26 18:20:58.998574,ch_kite_0003,8.0,66.6,97928.8,0.0,445.6,13405.8
2016-07-26 18:21:28.938647,ch_kite_0004,7.0,78.0,97711.8,0.0,465.8,13332.8
2016-07-26 18:21:58.796925,ch_kite_0001,7.0,73.0,97650.8,14.0,418.8,12954.4
2016-07-26 18:22:14.596105,ch_kite_0002,-1,-1,-1,-33.0,-1,-1
2016-07-26 18:22:44.993742,ch_kite_0003,8.0,66.6,97928.8,0.0,444.8,13265.2
2016-07-26 18:23:15.156352,ch_kite_0004,7.0,78.0,97709.4,0.0,463.4,13373.0
2016-07-26 18:23:44.584262,ch_kite_0001,7.0,73.8,97651.2,14.0,440.0,13389.2
2016-07-26 18:23:59.690123,ch_kite_0002,-1,-1,-1,-33.0,-1,-1
2016-07-26 18:24:29.530790,ch_kite_0003,8.0,66.6,97939.2,0.0,441.8,13206.4
2016-07-26 18:24:58.051639,ch_kite_0004,7.0,78.0,97713.0,0.0,463.8,13340.4
2016-07-26 18:25:26.801163,ch_kite_0001,7.0,74.0,97646.0,14.0,450.4,13387.8
2016-07-26 18:25:41.869011,ch_kite_0002,-1,-1,-1,-33.0,-1,-1
2016-07-26 18:26:10.968487,ch_kite_0003,8.0,66.4,97937.6,0.0,444.8,13792.2
2016-07-26 18:26:40.976609,ch_kite_0004,7.0,78.0,97716.2,0.0,460.6,13387.6
2016-07-26 18:27:11.074812,ch_kite_0001,7.0,74.0,97640.4,14.0,431.8,13388.6
2016-07-26 18:27:26.484867,ch_kite_0002,-1,-1,-1,-33.0,-1,-1
2016-07-26 18:27:56.435486,ch_kite_0003,8.0,66.6,97936.8,0.0,445.8,13117.2
2016-07-26 18:28:25.033061,ch_kite_0004,7.0,77.8,97711.4,0.0,462.0,13196.2
2016-07-26 18:28:55.223352,ch_kite_0001,7.0,74.0,97635.6,14.0,446.2,13467.2
2016-07-26 18:29:10.106557,ch_kite_0002,-1,-1,-1,-33.0,-1,-1
2016-07-26 18:29:39.539710,ch_kite_0003,8.0,66.6,97943.6,0.0,441.8,13585.6
2016-07-26 18:30:09.030036,ch_kite_0004,7.0,77.4,97714.2,0.0,465.4,13322.4
2016-07-26 18:30:38.675668,ch_kite_0001,7.0,74.6,97638.8,14.0,450.0,13323.4
2016-07-26 18:30:55.682878,ch_kite_0002,-1,-1,-1,-33.0,-1,-1
2016-07-26 18:31:25.446289,ch_kite_0003,8.0,66.6,97939.6,0.0,444.6,13445.4
2016-07-26 18:31:56.155308,ch_kite_0004,7.0,77.6,97717.4,0.0,463.0,13404.2
2016-07-26 18:32:26.555232,ch_kite_0001,7.0,75.0,97642.4,14.0,447.2,13361.2
2016-07-26 18:32:41.622619,ch_kite_0002,-1,-1,-1,-33.0,-1,-1
2016-07-26 18:33:11.861978,ch_kite_0003,8.0,67.0,97940.4,0.0,450.8,13270.0
2016-07-26 18:33:41.930223,ch_kite_0004,7.0,78.0,97719.0,0.0,457.0,13376.8
2016-07-26 18:34:11.247383,ch_kite_0001,7.0,75.0,97637.6,14.0,446.8,13405.4
2016-07-26 18:34:26.338430,ch_kite_0002,-1,-1,-1,-33.0,-1,-1
2016-07-26 18:34:56.238965,ch_kite_0003,8.0,67.6,97935.6,0.0,439.8,13443.2
2016-07-26 18:35:25.826929,ch_kite_0004,7.0,77.4,97726.2,0.0,452.2,13338.4
2016-07-26 18:35:55.705619,ch_kite_0001,7.0,75.0,97637.2,14.0,448.2,13296.4
2016-07-26 18:36:12.084302,ch_kite_0002,-1,-1,-1,-33.0,-1,-1
2016-07-26 18:36:40.895351,ch_kite_0003,8.0,67.6,97929.2,0.0,439.4,13349.4
2016-07-26 18:37:11.699485,ch_kite_0004,8.0,77.0,97732.2,0.0,461.6,13396.8
2016-07-26 18:37:41.291742,ch_kite_0001,7.0,75.0,97634.0,14.0,449.6,13411.4
2016-07-26 18:37:56.130625,ch_kite_0002,-1,-1,-1,-33.0,-1,-1
2016-07-26 18:38:25.030360,ch_kite_0003,8.0,67.6,97939.6,0.0,443.4,13521.4
2016-07-26 18:38:53.458484,ch_kite_0004,8.0,77.0,97739.4,0.0,458.0,13391.2
2016-07-26 18:39:22.458920,ch_kite_0001,7.0,75.0,97628.0,14.0,445.0,13386.4
2016-07-26 18:39:37.617321,ch_kite_0002,-1,-1,-1,-33.0,-1,-1
2016-07-26 18:40:06.635992,ch_kite_0003,8.0,67.6,97937.2,0.0,443.0,13557.2
2016-07-26 18:40:38.525060,ch_kite_0004,8.0,77.0,97751.0,0.0,459.0,13242.2
2016-07-26 18:41:07.061078,ch_kite_0001,7.0,75.8,97627.2,14.0,447.8,13406.4
2016-07-26 18:41:21.898919,ch_kite_0002,-1,-1,-1,-33.0,-1,-1
2016-07-26 18:41:51.421071,ch_kite_0003,8.0,68.6,97938.4,0.0,445.2,13419.2
2016-07-26 18:42:19.650722,ch_kite_0004,8.0,77.0,97751.0,0.0,455.2,13316.0
2016-07-26 18:42:47.726996,ch_kite_0001,7.0,76.0,97620.0,14.0,440.8,13366.0
2016-07-26 18:43:05.808364,ch_kite_0002,-1,-1,-1,-33.0,-1,-1
2016-07-26 18:43:36.288310,ch_kite_0003,8.0,68.2,97934.4,0.0,446.4,13534.6
2016-07-26 18:44:06.066735,ch_kite_0004,8.0,77.0,97757.8,0.0,450.0,13341.4
2016-07-26 18:44:36.245501,ch_kite_0001,7.0,76.2,97618.8,14.0,451.0,13380.0
2016-07-26 18:44:52.616449,ch_kite_0002,-1,-1,-1,-33.0,-1,-1
2016-07-26 18:45:22.793744,ch_kite_0003,8.0,68.2,97935.2,0.0,444.6,13439.2
2016-07-26 18:45:51.482631,ch_kite_0004,8.0,77.0,97765.4,0.0,447.2,13399.4
2016-07-26 18:46:21.188621,ch_kite_0001,7.0,76.0,97618.0,14.0,441.8,13397.8
2016-07-26 18:46:36.679236,ch_kite_0002,-1,-1,-1,-33.0,-1,-1
2016-07-26 18:47:06.697861,ch_kite_0003,8.0,68.6,97935.6,0.0,449.8,13434.8
2016-07-26 18:47:36.936238,ch_kite_0004,8.0,77.0,97771.0,0.0,457.0,12620.2
2016-07-26 18:48:07.038370,ch_kite_0001,7.0,77.0,97612.8,14.0,450.2,13375.4
2016-07-26 18:48:22.356145,ch_kite_0002,-1,-1,-1,-33.0,-1,-1
2016-07-26 18:48:51.125162,ch_kite_0003,8.0,68.6,97933.2,0.0,444.6,13441.0
2016-07-26 18:49:19.675554,ch_kite_0004,8.0,77.0,97774.2,0.0,453.6,13324.6
2016-07-26 18:49:47.982980,ch_kite_0001,7.0,77.0,97606.0,14.0,440.6,13393.0
2016-07-26 18:50:02.478133,ch_kite_0002,-1,-1,-1,-33.0,-1,-1
2016-07-26 18:50:32.428921,ch_kite_0003,8.0,68.6,97933.6,0.0,448.8,13439.8
2016-07-26 18:51:02.371671,ch_kite_0004,8.0,77.0,97784.2,0.0,460.0,12658.8
2016-07-26 18:51:33.086693,ch_kite_0001,7.0,78.0,97614.0,14.0,442.6,13400.4
2016-07-26 18:51:47.835512,ch_kite_0002,-1,-1,-1,-33.0,-1,-1
2016-07-26 18:52:16.467731,ch_kite_0003,8.0,69.0,97927.6,0.0,446.4,13454.6
2016-07-26 18:52:45.496549,ch_kite_0004,8.0,77.0,97787.0,0.0,457.8,13375.8
2016-07-26 18:53:14.495601,ch_kite_0001,7.0,78.0,97612.8,14.0,442.2,13491.6
2016-07-26 18:53:28.651315,ch_kite_0002,-1,-1,-1,-33.0,-1,-1
2016-07-26 18:53:56.780750,ch_kite_0003,8.0,69.0,97922.8,0.0,448.2,13485.0
2016-07-26 18:54:26.022871,ch_kite_0004,8.0,77.0,97791.4,0.0,456.2,13260.2
2016-07-26 18:54:53.752613,ch_kite_0001,7.8,78.0,97618.8,14.0,443.4,13426.8
2016-07-26 18:55:08.750280,ch_kite_0002,-1,-1,-1,-33.0,-1,-1
2016-07-26 18:55:38.830048,ch_kite_0003,8.0,69.6,97912.4,0.0,448.2,13421.6
2016-07-26 18:56:07.365987,ch_kite_0004,8.0,77.0,97795.0,0.0,454.8,13380.2
2016-07-26 18:56:39.175064,ch_kite_0001,8.0,77.0,97618.8,14.0,434.4,13438.4
2016-07-26 18:56:53.943990,ch_kite_0002,-1,-1,-1,-33.0,-1,-1
2016-07-26 18:57:28.376568,ch_kite_0003,8.0,69.6,97912.8,0.0,447.8,13431.0
2016-07-26 18:57:58.305139,ch_kite_0004,8.0,77.0,97793.0,0.0,459.4,13522.8
2016-07-26 18:58:26.960609,ch_kite_0001,8.0,77.0,97618.0,14.0,424.6,13430.2
2016-07-26 18:58:43.191439,ch_kite_0002,-1,-1,-1,-33.0,-1,-1
2016-07-26 18:59:11.769111,ch_kite_0003,8.0,69.6,97900.0,0.0,455.8,13517.4
2016-07-26 18:59:40.490480,ch_kite_0004,8.0,77.0,97796.2,0.0,458.0,13402.2
2016-07-26 19:00:09.850475,ch_kite_0001,8.0,77.0,97620.4,14.0,417.0,13456.2
2016-07-26 19:00:24.238381,ch_kite_0002,-1,-1,-1,-33.0,-1,-1
2016-07-26 19:00:54.678666,ch_kite_0003,8.0,69.4,97890.0,0.0,446.6,13427.8
2016-07-26 19:01:24.836605,ch_kite_0004,8.0,77.6,97800.6,0.0,458.2,13457.2
2016-07-26 19:01:54.765490,ch_kite_0001,8.0,77.0,97627.2,14.0,416.0,13375.2
2016-07-26 19:02:10.280448,ch_kite_0002,-1,-1,-1,-33.0,-1,-1
2016-07-26 19:02:40.513735,ch_kite_0003,8.0,70.0,97882.8,0.0,443.2,13427.2
2016-07-26 19:03:10.912726,ch_kite_0004,8.0,77.4,97800.6,0.0,459.4,13336.8
2016-07-26 19:03:40.848497,ch_kite_0001,8.0,78.0,97624.4,14.0,417.0,13379.4
2016-07-26 19:03:56.006227,ch_kite_0002,-1,-1,-1,-33.0,-1,-1
2016-07-26 19:04:25.468613,ch_kite_0003,8.0,70.6,97878.4,0.0,446.2,13038.0
2016-07-26 19:04:55.695948,ch_kite_0004,8.0,77.6,97795.4,0.0,457.4,13330.6
2016-07-26 19:05:25.426666,ch_kite_0001,8.0,78.0,97625.6,14.0,428.8,13410.8
2016-07-26 19:05:40.765749,ch_kite_0002,-1,-1,-1,-33.0,-1,-1
2016-07-26 19:06:10.786576,ch_kite_0003,8.0,70.6,97870.4,0.0,443.8,13468.4
2016-07-26 19:06:41.282514,ch_kite_0004,8.0,77.6,97793.0,0.0,454.0,13321.8
2016-07-26 19:07:11.310762,ch_kite_0001,8.0,78.0,97633.6,14.0,431.4,12820.4
2016-07-26 19:07:26.642769,ch_kite_0002,-1,-1,-1,-33.0,-1,-1
2016-07-26 19:07:56.402488,ch_kite_0003,8.0,72.6,97863.2,0.0,446.0,13501.6
2016-07-26 19:08:26.450458,ch_kite_0004,8.0,78.0,97801.4,0.0,459.6,13308.2
2016-07-26 19:08:55.916496,ch_kite_0001,8.0,78.0,97632.4,14.0,434.4,13389.0
2016-07-26 19:09:12.053978,ch_kite_0002,-1,-1,-1,-33.0,-1,-1
2016-07-26 19:09:42.715535,ch_kite_0003,8.0,72.6,97866.4,0.0,444.0,13471.2
2016-07-26 19:10:11.455238,ch_kite_0004,8.0,78.2,97801.8,0.0,457.0,12575.0
2016-07-26 19:10:41.545260,ch_kite_0001,8.0,77.0,97641.6,14.0,434.2,13407.2
2016-07-26 19:10:57.044978,ch_kite_0002,-1,-1,-1,-33.0,-1,-1
2016-07-26 19:11:26.363235,ch_kite_0003,8.0,72.0,97867.2,0.0,448.8,13463.6
2016-07-26 19:11:55.012238,ch_kite_0004,8.0,78.0,97800.2,0.0,463.0,13352.4
2016-07-26 19:12:23.328358,ch_kite_0001,8.0,77.8,97639.2,14.0,430.4,13392.8
2016-07-26 19:12:36.908558,ch_kite_0002,-1,-1,-1,-33.0,-1,-1
2016-07-26 19:13:05.246734,ch_kite_0003,8.0,72.6,97870.4,0.0,445.6,13465.8
2016-07-26 19:13:34.204999,ch_kite_0004,8.0,78.0,97808.6,0.0,461.6,13379.8
2016-07-26 19:14:03.677190,ch_kite_0001,8.0,77.2,97648.4,14.0,441.0,13392.2
2016-07-26 19:14:18.275795,ch_kite_0002,-1,-1,-1,-33.0,-1,-1
2016-07-26 19:14:47.126668,ch_kite_0003,8.0,72.0,97872.0,0.0,444.6,13449.0
2016-07-26 19:15:15.374674,ch_kite_0004,8.0,78.0,97805.8,0.0,463.8,13224.8
2016-07-26 19:15:44.501744,ch_kite_0001,8.0,78.0,97657.2,14.0,448.4,13372.0
2016-07-26 19:16:00.093438,ch_kite_0002,-1,-1,-1,-33.0,-1,-1
2016-07-26 19:16:29.882874,ch_kite_0003,8.0,72.6,97868.8,0.0,446.0,12767.0
2016-07-26 19:17:00.350453,ch_kite_0004,8.0,78.4,97807.8,0.0,460.8,13361.0
2016-07-26 19:17:28.496204,ch_kite_0001,8.0,78.0,97662.0,14.0,436.6,13404.8
2016-07-26 19:17:44.036448,ch_kite_0002,-1,-1,-1,-33.0,-1,-1
2016-07-26 19:18:13.135811,ch_kite_0003,8.0,73.6,97872.4,0.0,446.6,13465.6
2016-07-26 19:18:43.373496,ch_kite_0004,8.0,78.6,97810.6,0.0,463.8,13397.6
2016-07-26 19:19:14.815039,ch_kite_0001,8.0,78.0,97662.4,14.0,436.4,13404.2
2016-07-26 19:19:30.792894,ch_kite_0002,-1,-1,-1,-33.0,-1,-1
2016-07-26 19:20:00.070518,ch_kite_0003,8.0,73.6,97870.8,0.0,449.4,13394.0
2016-07-26 19:20:29.382324,ch_kite_0004,8.0,78.6,97814.2,0.0,464.8,13300.6
2016-07-26 19:20:59.340968,ch_kite_0001,8.0,78.0,97671.8,14.0,437.4,13944.4
2016-07-26 19:21:16.558734,ch_kite_0002,-1,-1,-1,-33.0,-1,-1
2016-07-26 19:21:44.960327,ch_kite_0003,8.0,73.6,97876.8,0.0,452.6,13503.2
2016-07-26 19:22:13.849245,ch_kite_0004,8.0,78.6,97812.6,0.0,466.8,13422.0
2016-07-26 19:22:44.207172,ch_kite_0001,8.0,78.0,97672.2,14.0,445.6,13414.6
2016-07-26 19:22:59.016733,ch_kite_0002,-1,-1,-1,-33.0,-1,-1
2016-07-26 19:23:28.165666,ch_kite_0003,8.0,74.0,97878.0,0.0,449.0,13466.2
2016-07-26 19:23:57.023361,ch_kite_0004,8.0,79.0,97815.4,0.0,458.4,13419.4
2016-07-26 19:24:25.603309,ch_kite_0001,8.0,78.0,97669.0,14.0,442.4,13412.2
2016-07-26 19:24:39.940909,ch_kite_0002,-1,-1,-1,-33.0,-1,-1
2016-07-26 19:25:10.138612,ch_kite_0003,8.0,73.6,97878.4,0.0,446.8,13427.0
2016-07-26 19:25:40.410239,ch_kite_0004,8.0,79.0,97814.6,0.0,466.2,13307.0
2016-07-26 19:26:09.779274,ch_kite_0001,8.0,78.0,97679.0,14.0,423.6,13425.4
2016-07-26 19:26:25.120059,ch_kite_0002,-1,-1,-1,-33.0,-1,-1
2016-07-26 19:26:54.934577,ch_kite_0003,8.0,73.0,97873.2,0.0,446.0,13452.4
2016-07-26 19:27:24.896989,ch_kite_0004,8.0,79.0,97817.8,0.0,467.6,13353.8
2016-07-26 19:27:53.935725,ch_kite_0001,8.0,79.0,97677.6,14.0,415.6,13408.2
2016-07-26 19:28:09.660046,ch_kite_0002,-1,-1,-1,-33.0,-1,-1
2016-07-26 19:28:39.714267,ch_kite_0003,8.0,74.0,97879.2,0.0,446.4,13509.0
2016-07-26 19:29:08.280240,ch_kite_0004,8.0,79.0,97821.4,0.0,465.0,12717.8
2016-07-26 19:29:36.801232,ch_kite_0001,8.0,79.0,97678.8,14.0,422.8,13408.4
2016-07-26 19:29:51.336409,ch_kite_0002,-1,-1,-1,-33.0,-1,-1
2016-07-26 19:30:21.439874,ch_kite_0003,8.0,74.0,97870.4,0.0,443.0,13463.6
2016-07-26 19:30:51.105525,ch_kite_0004,8.0,79.0,97821.8,0.0,462.0,13337.2
2016-07-26 19:31:20.308103,ch_kite_0001,8.0,79.0,97676.4,14.0,429.0,13380.4
2016-07-26 19:31:36.245926,ch_kite_0002,-1,-1,-1,-33.0,-1,-1
2016-07-26 19:32:05.315491,ch_kite_0003,8.0,74.6,97869.2,0.0,446.4,13228.0
2016-07-26 19:32:34.025481,ch_kite_0004,8.0,79.2,97823.0,0.0,461.6,13382.6
2016-07-26 19:33:03.572985,ch_kite_0001,8.0,79.0,97680.0,14.0,412.6,13692.4
2016-07-26 19:33:19.628067,ch_kite_0002,-1,-1,-1,-33.0,-1,-1
2016-07-26 19:33:48.181375,ch_kite_0003,8.0,74.6,97874.8,0.0,445.6,13427.4
2016-07-26 19:34:17.940691,ch_kite_0004,8.0,79.2,97817.8,0.0,459.0,13362.8
2016-07-26 19:34:46.559874,ch_kite_0001,8.0,79.0,97677.8,14.0,402.2,13415.8
2016-07-26 19:35:02.607744,ch_kite_0002,-1,-1,-1,-33.0,-1,-1
2016-07-26 19:35:32.468368,ch_kite_0003,8.0,73.6,97873.2,0.0,454.0,13486.2
2016-07-26 19:36:02.173601,ch_kite_0004,8.0,79.0,97816.2,0.0,460.2,13355.6
2016-07-26 19:36:32.285979,ch_kite_0001,8.0,79.0,97674.0,14.0,412.4,12569.8
2016-07-26 19:36:46.865295,ch_kite_0002,-1,-1,-1,-33.0,-1,-1
2016-07-26 19:37:16.633836,ch_kite_0003,8.0,73.6,97872.0,0.0,452.8,13449.2
2016-07-26 19:37:46.332099,ch_kite_0004,8.0,79.0,97813.0,0.0,461.4,13340.0
2016-07-26 19:38:15.251014,ch_kite_0001,8.0,79.0,97678.6,14.0,419.0,13437.8
2016-07-26 19:38:30.228811,ch_kite_0002,-1,-1,-1,-33.0,-1,-1
2016-07-26 19:38:58.349461,ch_kite_0003,8.0,73.6,97879.2,0.0,453.4,13513.4
2016-07-26 19:39:26.585310,ch_kite_0004,8.0,78.8,97813.0,0.0,459.6,13335.6
2016-07-26 19:39:55.737993,ch_kite_0001,8.0,79.0,97669.6,14.0,428.8,13431.4
2016-07-26 19:40:10.452060,ch_kite_0002,-1,-1,-1,-33.0,-1,-1
2016-07-26 19:40:39.606320,ch_kite_0003,8.0,74.0,97868.8,0.0,447.8,13378.4
2016-07-26 19:41:08.291349,ch_kite_0004,8.0,79.2,97806.6,0.0,464.4,13360.8
