DistrictPlanHeritageItemID,HeritageItemStatus,HeritageItemSignificance,HeritageItemHeritageRegisterCategory,HeritageItemType,HeritageRegisterLink,EDMReference,HeritageItemName,HeritageRegisterNumber,ScheduleReference,HeritagePlaceDescription,HeritageAerialMapNumber,Locality
1,Current,Significant,Category 2,Unknown,http://www.heritage.org.nz/the-list/details/1824,15/409200,"Former Dwelling and Setting, Middleton ",1824,27,"Former Dwelling and Setting, Middleton  and Middleton Grange",28,Upper Riccarton
2,Current,Significant,Category 2,Unknown,http://www.heritage.org.nz/the-list/details/579,15/409200,Dwelling and Setting,579,28,Dwelling and Setting and Dwelling,338,Linwood
3,Current,Significant,Not Listed,Unknown,NULL,15/409200,Dwelling and Setting,NULL,30,Dwelling and Setting and Dwelling,140,NULL
4,Current,Significant,Not Listed,Unknown,NULL,15/409200,Abberley Park,NULL,31,Abberley Park,677,St Albans
5,Current,Significant,Category 2,Unknown,http://www.heritage.org.nz/the-list/details/3117,15/409200,"Former Dwelling and Setting, Inveresk",3117,34,"Former Dwelling and Setting, Inveresk and Inveresk",169,NULL
13,Current,High Significance,Category 1,Unknown,http://www.heritage.org.nz/the-list/details/4387,15/409200,Former Community of the Sacred Name and Setting,4387,50,Former Community of the Sacred Name and Setting and Community of the Sacred Name,646,NULL
14,Current,Significant,Category 2,Unknown,http://www.heritage.org.nz/the-list/details/1876,15/409200,Dwelling and Setting,1876,51,Dwelling and Setting and Dwelling,340,Linwood
15,Current,Significant,Category 2,Unknown,http://www.heritage.org.nz/the-list/details/3723,15/409200,Knox Church Interior,3723,53,Knox Church Interior,158,NULL
23,Current,High Significance,Category 2,Unknown,http://www.heritage.org.nz/the-list/details/1837,15/409200,Canterbury Club and Setting,1837,76,Canterbury Club and Setting and Canterbury Club,208,NULL
24,Current,Significant,Category 2,Unknown,http://www.heritage.org.nz/the-list/details/1839,15/409200,Canterbury Club Hitching Post and Setting ,1839,77,Canterbury Club Hitching Post and Setting  and Gas Lamp and Hitching Post,216,NULL
25,Current,Significant,Category 2,Unknown,http://www.heritage.org.nz/the-list/details/3111,15/409200,"Commercial Building and Setting, Harley Chambers",3111,78,"Commercial Building and Setting, Harley Chambers and Harley Chambers",209,NULL
26,Current,High Significance,Category 2,Unknown,http://www.heritage.org.nz/the-list/details/1865,15/409200,"Edmonds Band Rotunda Area including Rotunda, Shelter, Balustrades, Landing and Lamp Standards and Setting",1865,79,"Edmonds Band Rotunda Area including Rotunda, Shelter, Balustrades, Landing and Lamp Standards and Setting and Avon River Corridor",258,NULL
27,Current,Significant,Not Listed,Unknown,NULL,15/409200,Dwelling and Setting,NULL,81,Dwelling and Setting and Dwelling,308,NULL
35,Current,High Significance,Category 1,Unknown,http://www.heritage.org.nz/the-list/details/46,15/409200,ChristChurch Cathedral and Setting,46,106,ChristChurch Cathedral and Setting and Cathedral Square,252,NULL
36,Current,High Significance,Category 1,Unknown,http://www.heritage.org.nz/the-list/details/3693,15/409200,Citizens' War Memorial and Setting,3693,107,Citizens' War Memorial and Setting and Cathedral Square,629,NULL
37,Current,Significant,Not Listed,Unknown,NULL,15/409200,Dwelling and Setting,NULL,110,Dwelling and Setting and State House ChancellorStreet 3,321,Richmond
38,Current,Significant,Not Listed,Unknown,NULL,15/409200,Dwelling and Setting,NULL,111,Dwelling and Setting and State House Chancellor Street 2,322,Richmond
39,Current,Significant,Not Listed,Unknown,NULL,15/409200,Dwelling and Setting,NULL,112,Dwelling and Setting and State House Chancellor Street,320,Richmond
40,Current,Significant,Category 2,Unknown,http://www.heritage.org.nz/the-list/details/1881,15/409200,Dwellings and Setting,1881,113,Dwellings and Setting and Chester Street Townhouse 1,291,NULL
41,Current,High Significance,Category 2,Unknown,http://www.heritage.org.nz/the-list/details/1831,15/409200,Gloucester Street Bridge and Setting,1831,115,Gloucester Street Bridge and Setting and Avon River Corridor,229,NULL
42,Current,Significant,Category 2,Unknown,http://www.heritage.org.nz/the-list/details/7323,15/409200,Dwellings and Setting,7323,116,Dwellings and Setting and Chester Street Townhouse 4,294,NULL
43,Current,High Significance,Category 2,Unknown,http://www.heritage.org.nz/the-list/details/3131,15/409200,"Former Dwelling and Setting, Risingholme",3131,118,"Former Dwelling and Setting, Risingholme and Risingholme",333,Opawa
44,Current,High Significance,Historic Area,Unknown,http://www.heritage.org.nz/the-list/details/7516,15/409200,Church Square and Setting,7516,120,Church Square and Setting and St Mary's Church Addington,90,Addington
51,Current,High Significance,Not Listed,Unknown,NULL,15/409200,"The Bricks Site, Cairn and Setting",NULL,133,"The Bricks Site, Cairn and Setting and Avon River Corridor",650,NULL
52,Current,High Significance,Category 2,Unknown,http://www.heritage.org.nz/the-list/details/7383,15/409200,"Commercial Building and Setting, Former Cook and Ross",7383,152,"Commercial Building and Setting, Former Cook and Ross and Victoria Square",686,NULL
53,Current,High Significance,Category 2,Unknown,http://www.heritage.org.nz/the-list/details/1835,15/409200,Colombo Street Bridge and Setting,1835,153,Colombo Street Bridge and Setting and Avon River Corridor,249,NULL
54,Current,High Significance,Category 2,Unknown,http://www.heritage.org.nz/the-list/details/7239,15/409200,Former St Mary's Convent Chapel and Setting,7239,154,Former St Mary's Convent Chapel and Setting and Rose Historic Chapel,254,NULL
55,Current,Significant,Category 2,Unknown,http://www.heritage.org.nz/the-list/details/4923,15/409200,"Dwelling and Setting, Te Wepu",4923,155,"Dwelling and Setting, Te Wepu and Setting",110,St Albans
64,Current,Significant,Not Listed,Unknown,NULL,15/409200,Dwelling and Setting,NULL,167,Dwelling and Setting and Cottage,242,Sydenham
65,Current,Significant,Category 2,Unknown,http://www.heritage.org.nz/the-list/details/1829,15/409200,"Former Dwellings and Setting, Blackheath Place ",1829,168,"Former Dwellings and Setting, Blackheath Place  and Blackheath",220,Sydenham
66,Current,High Significance,Not Listed,Unknown,NULL,15/409200,St Michael's School Hall and Setting,NULL,169,St Michael's School Hall and Setting and St Michael and All Angels,221,NULL
74,Current,High Significance,Category 1,Unknown,http://www.heritage.org.nz/the-list/details/3659,15/409200,"Dwelling and Setting, Daresbury ",3659,185,"Dwelling and Setting, Daresbury  and Setting",664,Fendalton
75,Current,High Significance,Category 1,Unknown,http://www.heritage.org.nz/the-list/details/3680,15/409200,"Dwelling and Setting, Los Angeles",3680,186,"Dwelling and Setting, Los Angeles and Los Angeles",55,Fendalton
76,Current,High Significance,Category 1,Unknown,http://www.heritage.org.nz/the-list/details/3681,15/409200,St Barnabas Church and Setting,3681,188,St Barnabas Church and Setting and St Barnabas Church,47,Fendalton
77,Current,Significant,Not Listed,Unknown,NULL,15/409200,"Dwelling and Setting, Brenchley",NULL,189,"Dwelling and Setting, Brenchley and Brenchley",44,Fendalton
78,Current,Significant,Category 2,Unknown,http://www.heritage.org.nz/the-list/details/1949,15/409200,Woolston Borough Monument and Setting,1949,190,Woolston Borough Monument and Setting and Woolston Borough Memorial,345,Woolston
87,Current,Significant,Not Listed,Unknown,NULL,15/409200,MED Substation and Setting,NULL,207,MED Substation and Setting and Gasson Street MED,290,Sydenham
88,Current,Significant,Category 2,Unknown,http://www.heritage.org.nz/the-list/details/3804,15/409200,Dwelling and Setting,3804,208,Dwelling and Setting and 12 Glandovery Road,41,Fendalton
89,Current,Significant,Category 2,Unknown,http://www.heritage.org.nz/the-list/details/3805,15/409200,Dwelling and Setting,3805,209,Dwelling and Setting and 27 Glandovey Road,43,Fendalton
90,Current,Significant,Category 2,Unknown,http://www.heritage.org.nz/the-list/details/3807,15/409200,Dwelling and Setting,3807,212,Dwelling and Setting and Setting,53,Fendalton
91,Current,High Significance,Category 2,Unknown,http://www.heritage.org.nz/the-list/details/3806,15/409200,Dwelling and Setting,3806,213,Dwelling and Setting and 60 Glandovey Road,51,Fendalton
99,Current,Significant,Not Listed,Unknown,NULL,15/409200,"Dwelling and Setting, Blakeney",NULL,227,"Dwelling and Setting, Blakeney and Dwelling",107,Cashmere
100,Current,Significant,Not Listed,Unknown,NULL,15/409200,Dwelling and Setting,NULL,229,Dwelling and Setting and Dwelling,227,Cashmere
101,Current,High Significance,Category 2,Unknown,http://www.heritage.org.nz/the-list/details/275,15/409200,Sign of the Takahe and Setting,275,230,Sign of the Takahe and Setting and Sign of the Takake,241,Cashmere
109,Current,Significant,Not Listed,Unknown,NULL,15/409200,Elmwood Park,NULL,243,Elmwood Park,672,Merivale
110,Current,Significant,Category 2,Unknown,http://www.heritage.org.nz/the-list/details/3713,15/409200,Dwelling and Setting,3713,245,Dwelling and Setting and Dwelling,74,Merivale
111,Current,Significant,Category 2,Unknown,http://www.heritage.org.nz/the-list/details/3716,15/409200,Dwelling and Setting,3716,246,Dwelling and Setting and Dwelling,75,Merivale
112,Current,High Significance,Category 2,Unknown,http://www.heritage.org.nz/the-list/details/3125,15/409200,"Dwelling and Setting, Wahi Ruru",3125,247,"Dwelling and Setting, Wahi Ruru and Dwelling",460,Sumner
113,Current,High Significance,Category 2,Unknown,http://www.heritage.org.nz/the-list/details/1798,15/409200,Bridge and Setting,1798,248,Bridge and Setting and Helmores Lane Bridge,85,Merivale
