ParkID,GreenspaceParkID,ParkName,ParkTypeDescription,Area,Perimeter
2,537,Westminster Park,Sports Park,56245,1277
3,362,Pasadena Reserve,Local/Community Park,788,133
4,370,Pitcairn Playground,Local/Community Park,6346,377
5,321,Moffett Reserve,Local/Community Park,1081,148
6,284,Waimairi Beach Park,Regional Park,607227,7114
7,1108,Bottle Lake Beach Park,Regional Park,472679,5220
8,1110,Spencer Park Beach,Regional Park,110623,1567
9,1095,Brooklands Spit,Regional Park,1128404,9437
10,1109,North Beach,Regional Park,179743,4208
12,509,Victoria Square,Garden & Heritage Park,16166,717
13,1129,Aldred Reserve,Local/Community Park,1000,128
14,93,Castile Reserve,Local/Community Park,1444,203
15,557,Zenith Reserve,Local/Community Park,4221,519
17,1106,Taurus Reserve,Local/Community Park,2378,228
18,1107,Te Karoro Karoro Reserve,Local/Community Park,15796,631
20,1255,Armagh Reserve,Local/Community Park,811,152
22,160,Farrington Reserve,Local/Community Park,3119,252
23,498,Travis Wetland,Regional Park,1218680,5536
25,104,Cheviot Reserve,Local/Community Park,1064,212
26,419,Scott Park Wigram,Local/Community Park,10171,406
27,379,Railway Reserve,Local/Community Park,7425,525
36,1104,Plover Reserve,Local/Community Park,422,91
38,1236,Christchurch Quay Reserve,Local/Community Park,11990,715
39,302,Martindales Reserve No. 1,Local/Community Park,284,276
40,1101,Windsports Park,Regional Park,41737,2585
41,87,Taylors Mistake Beach,Regional Park,93554,2257
42,1,Abberley Park,Garden & Heritage Park,19216,747
44,1123,Addington Cemetery,Garden & Heritage Park,20583,666
46,1145,Alderson Reserve,Local/Community Park,16493,586
47,1181,Alvaston Reserve,Local/Community Park,8461,1410
48,5,Alwyn Park,Local/Community Park,6291,337
50,6,Annandale Park,Local/Community Park,2636,273
51,7,Antigua Reserve,Local/Community Park,549,97
52,1280,Apsley Landscape Reserve,Local/Community Park,287,269
53,8,Aranui Playground,Local/Community Park,6482,530
54,9,Arcon Playground,Local/Community Park,1049,136
55,10,Arcon Stream Reserve,Local/Community Park,13405,738
56,11,Arden Reserve,Local/Community Park,5433,408
57,12,Armitage Reserve,Local/Community Park,3669,248
58,13,Arran Playground,Local/Community Park,5012,294
59,14,Ashcroft Reserve,Local/Community Park,2275,216
60,280,Ashgrove Reserve,Local/Community Park,4285,260
61,16,Ashwood Reserve,Local/Community Park,1353,151
64,18,Avebury Park,Garden & Heritage Park,9124,458
65,19,Avice Hill Reserve,Garden & Heritage Park,7313,468
66,20,Avon Park,Sports Park,57826,1417
67,546,Avondale Park,Sports Park,39891,963
68,22,Avondale Playground,Local/Community Park,5144,360
71,1182,Azalea Reserve,Local/Community Park,3876,259
72,26,Balcairn Reserve,Local/Community Park,1425,182
74,1125,Barbadoes Cemetery,Garden & Heritage Park,33512,1484
75,1237,Cambridge Green,Local/Community Park,2836,234
76,31,Barrington Park,Sports Park,57853,1379
77,33,Beachville Reserve,Local/Community Park,1242,154
78,34,Beckenham Park,Sports Park,46654,1057
