tempParkAssetID,FeatureCategory,TableSurfaceFinish,tableConstructionMethod,Comment
72,Furniture - Table,Natural,Wood with Wooden Frame,
73,Furniture - Table,Natural,Wood with Wooden Frame,
105,Furniture - Table,Natural,Wood with Wooden Frame,
161,Furniture - Table,Painted,Wood with Wooden Frame,
229,Furniture - Table,Natural,Wood with Metal Frame,
233,Furniture - Table,Painted,Wood with Wooden Frame,
247,Furniture - Table,Natural,Wood with Metal Frame,
272,Furniture - Table,Painted,Wood with Metal Frame,
275,Furniture - Table,Painted,Wood with Metal Frame,
287,Furniture - Table,Painted,Wood with Metal Frame,
603,Furniture - Table,Stained - Dark,Wood with Wooden Frame,
829,Furniture - Table,Painted,Wood with Wooden Frame,
830,Furniture - Table,Painted,Wood with Wooden Frame,
1034,Furniture - Table,Painted,Wood with Metal Frame,also includes bench
1035,Furniture - Table,Painted,Wood with Metal Frame,
1036,Furniture - Table,Painted,Wood with Metal Frame,
1037,Furniture - Table,Painted,Wood with Metal Frame,
1095,Furniture - Table,Stained - Dark,Wood,
1114,Furniture - Table,Stained - Dark,Wood with Wooden Frame,
1117,Furniture - Table,Stained - Dark,Wood with Wooden Frame,
1118,Furniture - Table,Stained - Dark,Wood with Wooden Frame,
1168,Furniture - Table,Stained - Clear,Wood with Wooden Frame,
1169,Furniture - Table,Stained - Clear,Wood with Wooden Frame,
1175,Furniture - Table,Stained - Clear,Wood with Wooden Frame,
1249,Furniture - Table,Painted,Wood with Wooden Frame,
1283,Furniture - Table,Painted,Wood with Wooden Frame,
1336,Furniture - Table,Natural,Wood with Wooden Frame,
1475,Furniture - Table,Stained - Clear,Wood with Wooden Frame,
1476,Furniture - Table,Stained - Clear,Wood with Wooden Frame,
1477,Furniture - Table,Stained - Dark,Wood with Wooden Frame,
1972,Furniture - Table,Painted,Wood with Wooden Frame,
1973,Furniture - Table,Painted,Wood with Wooden Frame,
2059,Furniture - Table,Stained - Clear,Wood with Wooden Frame,appeared on new year's eve. Ownership unknown .
2382,Furniture - Table,Natural,Wood,
2389,Furniture - Table,Natural,Wood with Wooden Frame,
2394,Furniture - Table,Natural,Concrete,
2433,Furniture - Table,Natural,Wood with Wooden Frame,
2468,Furniture - Table,Natural,Wood with Metal Frame,
2528,Furniture - Table,Natural,Wood with Metal Frame,
2534,Furniture - Table,Natural,Wood with Metal Frame,
2668,Furniture - Table,Painted,Wood with Wooden Frame,
2669,Furniture - Table,Painted,Wood with Wooden Frame,
2905,Furniture - Table,Natural,Wood with Metal Frame,
2910,Furniture - Table,Natural,Wood with Metal Frame,
2912,Furniture - Table,Natural,Wood with Wooden Frame,needs a tidy up to remove lichen
2916,Furniture - Table,Natural,Wood with Metal Frame,
2960,Furniture - Table,Stained - Clear,Wood with Metal Frame,
3159,Furniture - Table,Stained - Clear,Wood with Metal Frame,
3179,Furniture - Table,Stained - Clear,Wood with Wooden Frame,
3231,Furniture - Table,Stained - Clear,Wood with Metal Frame,
3237,Furniture - Table,Stained - Clear,Wood with Metal Frame,
3238,Furniture - Table,Stained - Clear,Wood with Metal Frame,
3240,Furniture - Table,Stained - Clear,Wood with Metal Frame,
3344,Furniture - Table,Natural,Wood with Wooden Frame,
3374,Furniture - Table,Painted,Concrete,Road Landscape Feature
3383,Furniture - Table,Painted,Wood with Wooden Frame,Road Landscape Feature
3500,Furniture - Table,Painted,Wood with Wooden Frame,
3640,Furniture - Table,Painted,Wood with Wooden Frame,
3641,Furniture - Table,Painted,Wood with Wooden Frame,
3727,Furniture - Table,Painted,Wood with Wooden Frame,
3731,Furniture - Table,Painted,Wood with Wooden Frame,
3740,Furniture - Table,Painted,Wood with Wooden Frame,
3768,Furniture - Table,Painted,Wood with Wooden Frame,
3873,Furniture - Table,Natural,Wood with Metal Frame,Road Landscape Feature
3912,Furniture - Table,Natural,Wood with Wooden Frame,
4263,Furniture - Table,Stained - Dark,Wood with Metal Frame,
4278,Furniture - Table,Stained - Dark,Wood with Metal Frame,
4279,Furniture - Table,Painted,Wood with Wooden Frame,
4281,Furniture - Table,Stained - Dark,Wood with Metal Frame,
4282,Furniture - Table,Painted,Wood with Wooden Frame,
4283,Furniture - Table,Painted,Wood with Wooden Frame,
4317,Furniture - Table,Painted,Wood with Wooden Frame,
4401,Furniture - Table,Natural,Wood with Metal Frame,
4465,Furniture - Table,Painted,Wood with Wooden Frame,
4466,Furniture - Table,Painted,Wood with Wooden Frame,
4467,Furniture - Table,Painted,Wood with Wooden Frame,
4468,Furniture - Table,Painted,Wood with Wooden Frame,
4469,Furniture - Table,Painted,Wood with Wooden Frame,
4470,Furniture - Table,Painted,Wood with Wooden Frame,
4471,Furniture - Table,Painted,Wood with Wooden Frame,
4472,Furniture - Table,Painted,Wood with Wooden Frame,
4512,Furniture - Table,Painted,Wood with Wooden Frame,
4513,Furniture - Table,Painted,Wood with Wooden Frame,
4674,Furniture - Table,Stained - Dark,Wood with Metal Frame,
4678,Furniture - Table,Stained - Dark,Wood with Metal Frame,
4696,Furniture - Table,Natural,Wood with Metal Frame,
4713,Furniture - Table,Painted,Wood with Wooden Frame,
4714,Furniture - Table,Painted,Wood with Wooden Frame,
4816,Furniture - Table,Stained - Dark,Wood with Metal Frame,
4817,Furniture - Table,Stained - Clear,Wood with Metal Frame,
4856,Furniture - Table,Stained - Dark,Wood with Metal Frame,
4862,Furniture - Table,Stained - Dark,Wood with Metal Frame,
4872,Furniture - Table,Stained - Clear,Wood with Metal Frame,
5069,Furniture - Table,Painted,Wood with Wooden Frame,
5070,Furniture - Table,Painted,Wood with Wooden Frame,
5071,Furniture - Table,Painted,Wood with Wooden Frame,
5072,Furniture - Table,Painted,Wood with Wooden Frame,
5073,Furniture - Table,Painted,Wood with Wooden Frame,
5074,Furniture - Table,Painted,Wood with Wooden Frame,
5115,Furniture - Table,Stained - Clear,Wood with Wooden Frame,
5516,Furniture - Table,Stained - Clear,Wood with Metal Frame,
5518,Furniture - Table,Painted,Wood with Wooden Frame,
5542,Furniture - Table,Not Applicable,Concrete,
5543,Furniture - Table,Not Applicable,Concrete,
5605,Furniture - Table,Painted,Wood with Wooden Frame,
5606,Furniture - Table,Painted,Wood with Wooden Frame,
5621,Furniture - Table,Painted,Wood with Wooden Frame,
5626,Furniture - Table,Stained - Clear,Wood with Metal Frame,
5714,Furniture - Table,Natural,Concrete,
5716,Furniture - Table,Stained - Clear,Wood with Wooden Frame,
5717,Furniture - Table,Stained - Clear,Wood with Wooden Frame,
5719,Furniture - Table,Stained - Clear,Wood with Wooden Frame,
5881,Furniture - Table,Natural,Wood with Wooden Frame,
5977,Furniture - Table,,,
6030,Furniture - Table,Stained - Clear,Wood with Wooden Frame,
6084,Furniture - Table,Stained - Dark,Wood with Wooden Frame,
6114,Furniture - Table,Painted,Wood with Wooden Frame,
6120,Furniture - Table,Painted,Wood with Wooden Frame,
6137,Furniture - Table,Painted,Wood with Wooden Frame,
6416,Furniture - Table,Painted,Wood with Wooden Frame,
6417,Furniture - Table,Painted,Wood with Wooden Frame,
6824,Furniture - Table,Not Applicable,Concrete,
6825,Furniture - Table,Not Applicable,Concrete,
7265,Furniture - Table,Stained - Clear,Wood with Wooden Frame,
8024,Furniture - Table,Painted,Wood with Wooden Frame,
9009,Furniture - Table,Stained - Dark,Wood with Metal Frame,
9046,Furniture - Table,Natural,Wood with Wooden Frame,
9113,Furniture - Table,Natural,Wood with Wooden Frame,table graffitied...see pic 6421
10491,Furniture - Table,Stained - Dark,Wood with Wooden Frame,
10608,Furniture - Table,Stained - Dark,Wood with Wooden Frame,
10612,Furniture - Table,Stained - Dark,Wood with Wooden Frame,
10618,Furniture - Table,Stained - Dark,Wood with Wooden Frame,
10726,Furniture - Table,Natural,Wood with Wooden Frame,
11368,Furniture - Table,Stained - Dark,Wood with Wooden Frame,
11373,Furniture - Table,Stained - Dark,Wood with Wooden Frame,
11380,Furniture - Table,Stained - Dark,Wood with Wooden Frame,
11511,Furniture - Table,Stained - Dark,Wood with Wooden Frame,a little graffiti
11572,Furniture - Table,Stained - Dark,Wood with Wooden Frame,
11739,Furniture - Table,Stained - Dark,Wood with Wooden Frame,
